iter	Passed	Remaining
837	4762	6604
838	4766	6596
839	4770	6588
840	4774	6580
841	4779	6573
842	4784	6565
843	4788	6558
844	4792	6550
845	4794	6540
846	4800	6535
847	4807	6531
848	4813	6525
849	4819	6520
850	4825	6515
851	4830	6508
852	4836	6502
853	4841	6496
854	4845	6488
855	4850	6482
856	4855	6476
857	4859	6467
858	4865	6462
859	4869	6454
860	4876	6450
861	4881	6444
862	4886	6437
863	4894	6435
864	4897	6426
865	4902	6419
866	4907	6413
867	4911	6404
868	4916	6398
869	4920	6390
870	4925	6384
871	4930	6377
872	4936	6372
873	4940	6365
874	4945	6359
875	4950	6352
876	4956	6346
877	4961	6340
878	4965	6332
879	4970	6326
880	4975	6320
881	4979	6311
882	4987	6308
883	4995	6307
884	5002	6302
885	5009	6298
886	5012	6289
887	5016	6281
888	5020	6274
889	5024	6266
890	5028	6258
891	5031	6249
892	5036	6243
893	5039	6234
894	5043	6227
895	5047	6219
896	5050	6210
897	5053	6202
898	5057	6194
899	5061	6186
900	5064	6177
901	5069	6171
902	5074	6165
903	5078	6157
904	5084	6151
905	5088	6144
906	5094	6138
907	5099	6133
908	5106	6128
909	5109	6120
910	5116	6115
911	5120	6108
912	5124	6100
913	5129	6094
914	5133	6086
915	5138	6081
916	5142	6072
917	5146	6065
918	5150	6058
919	5155	6052
920	5160	6045
921	5163	6037
922	5168	6030
923	5175	6026
924	5177	6017
925	5185	6014
926	5190	6008
927	5192	5997
928	5200	5995
929	5205	5988
930	5208	5980
931	5212	5973
932	5216	5965
933	5222	5960
934	5225	5952
935	5229	5944
936	5235	5939
937	5238	5930
938	5242	5923
939	5247	5917
940	5251	5909
941	5255	5902
942	5259	5895
943	5272	5897
944	5276	5890
945	5280	5883
946	5284	5875
947	5287	5867
948	5292	5861
949	5295	5853
950	5300	5846
951	5303	5838
952	5308	5832
953	5312	5824
954	5313	5814
955	5318	5808
956	5321	5799
957	5327	5794
958	5331	5787
959	5333	5777
960	5339	5772
961	5344	5766
962	5346	5757
963	5351	5750
964	5355	5743
965	5360	5737
966	5367	5734
967	5376	5731
968	5382	5726
969	5386	5719
970	5391	5713
971	5396	5707
972	5399	5699
973	5405	5694
974	5410	5687
975	5413	5679
976	5416	5671
977	5422	5666
978	5427	5660
979	5430	5652
980	5436	5646
